Test Case id,J,K,X,Y,Z,Korel_Branch_Distance_J,Korel_Branch_Distance_K,Korel_Branch_Distance_X,Korel_Branch_Distance_Y,Korel_Branch_Distance_Z,Fitness
1,86,84,52,94,78,11,19,0,49,43,122
2,92,57,59,86,100,17,0,4,41,65,127
3,74,54,62,63,83,0,0,7,18,48,73
4,86,57,94,75,71,11,0,39,30,36,116
5,66,96,83,52,81,0,31,28,7,46,112
6,70,98,69,58,95,0,33,14,13,60,120
7,81,88,92,92,80,6,23,37,47,45,158
8,53,69,86,91,100,0,4,31,46,65,146
9,53,81,64,74,68,0,16,9,29,33,87
10,89,79,53,82,94,14,14,0,37,59,124
11,51,58,88,97,84,0,0,33,52,49,134
12,78,66,99,54,84,3,1,44,9,49,106
13,86,61,66,73,89,11,0,11,28,54,104
14,100,57,98,51,57,25,0,43,6,22,96
15,77,68,78,63,100,2,3,23,18,65,111
16,91,80,92,68,57,16,15,37,23,22,113
17,78,76,82,62,68,3,11,27,17,33,91
18,86,65,60,67,56,11,0,5,22,21,59
19,72,73,72,67,72,0,8,17,22,37,84
20,87,73,100,84,67,12,8,45,39,32,136
21,61,64,92,61,50,0,0,37,16,15,68
22,95,50,69,78,68,20,0,14,33,33,100
23,62,53,52,51,83,0,0,0,6,48,54
24,52,91,54,60,73,0,26,0,15,38,79
25,94,96,83,80,100,19,31,28,35,65,178
