Test Case id,J,K,X,Y,Z,Korel_Branch_Distance_J,Korel_Branch_Distance_K,Korel_Branch_Distance_X,Korel_Branch_Distance_Y,Korel_Branch_Distance_Z,Fitness
1,91,50,75,100,54,11,0,15,50,29,105
2,89,64,84,68,66,9,0,24,18,41,92
3,81,87,71,82,87,1,17,11,32,62,123
4,62,72,89,52,99,0,2,29,2,74,107
5,84,56,72,86,79,4,0,12,36,54,106
6,77,67,71,72,88,0,0,11,22,63,96
7,70,91,84,92,59,0,21,24,42,34,121
8,76,97,61,84,65,0,27,1,34,40,102
9,53,65,72,79,85,0,0,12,29,60,101
10,90,56,80,80,70,10,0,20,30,45,105
11,96,66,62,53,75,16,0,2,3,50,71
12,99,63,61,88,85,19,0,1,38,60,118
13,55,87,90,55,85,0,17,30,5,60,112
14,78,95,60,72,93,0,25,0,22,68,115
15,68,98,63,93,93,0,28,3,43,68,142
16,76,97,85,69,51,0,27,25,19,26,97
17,99,57,79,84,68,19,0,19,34,43,115
18,59,92,85,75,84,0,22,25,25,59,131
19,100,93,100,59,82,20,23,40,9,57,149
20,59,67,72,94,76,0,0,12,44,51,107
21,67,87,62,58,59,0,17,2,8,34,61
22,100,80,76,90,69,20,10,16,40,44,130
23,66,78,95,58,82,0,8,35,8,57,108
24,50,54,54,66,86,0,0,0,16,61,77
25,63,78,89,98,51,0,8,29,48,26,111
